size,time,type,action
121,0.001,parallel,vector
121,0.001,parallel,sum
122,0,parallel,vector
122,0.003,parallel,sum
123,0,parallel,vector
123,0.001,parallel,sum
124,0.001,parallel,vector
124,0.001,parallel,sum
125,0,parallel,vector
125,0.003,parallel,sum
126,0,parallel,vector
126,0.002,parallel,sum
127,0,parallel,vector
127,0.002,parallel,sum
128,0,parallel,vector
128,0.002,parallel,sum
129,0,parallel,vector
129,0.002,parallel,sum
130,0,parallel,vector
130,0.003,parallel,sum
131,0,parallel,vector
131,0.002,parallel,sum
132,0.001,parallel,vector
132,0.002,parallel,sum
133,0,parallel,vector
133,0.002,parallel,sum
134,0,parallel,vector
134,0.003,parallel,sum
135,0,parallel,vector
135,0.003,parallel,sum
136,0,parallel,vector
136,0.002,parallel,sum
137,0,parallel,vector
137,0.003,parallel,sum
138,0,parallel,vector
138,0.002,parallel,sum
139,0,parallel,vector
139,0.003,parallel,sum
140,0,parallel,vector
140,0.002,parallel,sum
141,0,parallel,vector
141,0.004,parallel,sum
142,0.001,parallel,vector
142,0.003,parallel,sum
143,0,parallel,vector
143,0.003,parallel,sum
144,0.001,parallel,vector
144,0.003,parallel,sum
145,0,parallel,vector
145,0.003,parallel,sum
146,0,parallel,vector
146,0.002,parallel,sum
147,0,parallel,vector
147,0.003,parallel,sum
148,0,parallel,vector
148,0.004,parallel,sum
149,0,parallel,vector
149,0.004,parallel,sum
150,0,parallel,vector
150,0.004,parallel,sum
151,0.001,parallel,vector
151,0.002,parallel,sum
152,0,parallel,vector
152,0.003,parallel,sum
153,0,parallel,vector
153,0.004,parallel,sum
154,0,parallel,vector
154,0.003,parallel,sum
155,0,parallel,vector
155,0.003,parallel,sum
156,0.001,parallel,vector
156,0.004,parallel,sum
157,0,parallel,vector
157,0.003,parallel,sum
158,0,parallel,vector
158,0.004,parallel,sum
159,0,parallel,vector
159,0.003,parallel,sum
160,0,parallel,vector
160,0.004,parallel,sum
161,0,parallel,vector
161,0.003,parallel,sum
162,0,parallel,vector
162,0.003,parallel,sum
163,0,parallel,vector
163,0.003,parallel,sum
164,0.001,parallel,vector
164,0.002,parallel,sum
165,0.001,parallel,vector
165,0.006,parallel,sum
166,0.001,parallel,vector
166,0.003,parallel,sum
167,0,parallel,vector
167,0.003,parallel,sum
168,0.001,parallel,vector
168,0.004,parallel,sum
169,0.001,parallel,vector
169,0.003,parallel,sum
170,0,parallel,vector
170,0.003,parallel,sum
171,0.001,parallel,vector
171,0.005,parallel,sum
172,0,parallel,vector
172,0.005,parallel,sum
173,0,parallel,vector
173,0.003,parallel,sum
174,0.001,parallel,vector
174,0.004,parallel,sum
175,0.001,parallel,vector
175,0.003,parallel,sum
176,0,parallel,vector
176,0.005,parallel,sum
177,0,parallel,vector
177,0.004,parallel,sum
178,0.001,parallel,vector
178,0.004,parallel,sum
179,0,parallel,vector
179,0.003,parallel,sum
180,0.001,parallel,vector
180,0.005,parallel,sum
181,0.001,parallel,vector
181,0.003,parallel,sum
182,0.002,parallel,vector
182,0.004,parallel,sum
183,0.001,parallel,vector
183,0.005,parallel,sum
184,0,parallel,vector
184,0.004,parallel,sum
185,0.001,parallel,vector
185,0.004,parallel,sum
186,0.001,parallel,vector
186,0.004,parallel,sum
187,0.001,parallel,vector
187,0.003,parallel,sum
188,0.001,parallel,vector
188,0.003,parallel,sum
189,0.001,parallel,vector
189,0.004,parallel,sum
190,0.001,parallel,vector
190,0.005,parallel,sum
191,0.001,parallel,vector
191,0.003,parallel,sum
192,0.001,parallel,vector
192,0.004,parallel,sum
193,0.001,parallel,vector
193,0.004,parallel,sum
194,0,parallel,vector
194,0.004,parallel,sum
195,0.001,parallel,vector
195,0.004,parallel,sum
196,0.001,parallel,vector
196,0.003,parallel,sum
197,0.001,parallel,vector
197,0.005,parallel,sum
198,0,parallel,vector
198,0.004,parallel,sum
199,0.001,parallel,vector
199,0.004,parallel,sum
200,0.001,parallel,vector
200,0.003,parallel,sum
201,0.001,parallel,vector
201,0.005,parallel,sum
202,0.001,parallel,vector
202,0.004,parallel,sum
203,0.001,parallel,vector
203,0.004,parallel,sum
204,0,parallel,vector
204,0.006,parallel,sum
205,0,parallel,vector
205,0.005,parallel,sum
206,0,parallel,vector
206,0.003,parallel,sum
207,0.001,parallel,vector
207,0.005,parallel,sum
208,0.001,parallel,vector
208,0.004,parallel,sum
209,0.001,parallel,vector
209,0.005,parallel,sum
210,0,parallel,vector
210,0.006,parallel,sum
211,0.001,parallel,vector
211,0.004,parallel,sum
212,0.001,parallel,vector
212,0.005,parallel,sum
213,0.001,parallel,vector
213,0.007,parallel,sum
214,0.001,parallel,vector
214,0.004,parallel,sum
215,0.001,parallel,vector
215,0.005,parallel,sum
216,0.001,parallel,vector
216,0.006,parallel,sum
217,0.001,parallel,vector
217,0.005,parallel,sum
218,0.001,parallel,vector
218,0.005,parallel,sum
219,0.001,parallel,vector
219,0.005,parallel,sum
220,0.001,parallel,vector
220,0.005,parallel,sum
221,0.001,parallel,vector
221,0.005,parallel,sum
222,0.001,parallel,vector
222,0.006,parallel,sum
223,0.001,parallel,vector
223,0.004,parallel,sum
224,0.002,parallel,vector
224,0.005,parallel,sum
225,0.001,parallel,vector
225,0.005,parallel,sum
226,0.001,parallel,vector
226,0.005,parallel,sum
227,0.001,parallel,vector
227,0.005,parallel,sum
228,0.001,parallel,vector
228,0.006,parallel,sum
229,0.001,parallel,vector
229,0.005,parallel,sum
230,0.001,parallel,vector
230,0.005,parallel,sum
231,0.001,parallel,vector
231,0.006,parallel,sum
232,0.002,parallel,vector
232,0.005,parallel,sum
233,0.001,parallel,vector
233,0.006,parallel,sum
234,0.001,parallel,vector
234,0.005,parallel,sum
235,0.001,parallel,vector
235,0.005,parallel,sum
236,0.001,parallel,vector
236,0.006,parallel,sum
237,0.002,parallel,vector
237,0.006,parallel,sum
238,0.001,parallel,vector
238,0.006,parallel,sum
239,0.001,parallel,vector
239,0.005,parallel,sum
240,0.001,parallel,vector
240,0.006,parallel,sum
241,0.001,parallel,vector
241,0.005,parallel,sum
242,0.002,parallel,vector
242,0.005,parallel,sum
243,0.001,parallel,vector
243,0.006,parallel,sum
244,0.002,parallel,vector
244,0.005,parallel,sum
245,0.001,parallel,vector
245,0.006,parallel,sum
246,0.002,parallel,vector
246,0.006,parallel,sum
247,0.001,parallel,vector
247,0.005,parallel,sum
248,0.001,parallel,vector
248,0.006,parallel,sum
249,0.001,parallel,vector
249,0.007,parallel,sum
250,0.001,parallel,vector
250,0.005,parallel,sum
251,0.002,parallel,vector
251,0.005,parallel,sum
252,0.002,parallel,vector
252,0.006,parallel,sum
253,0.001,parallel,vector
253,0.006,parallel,sum
254,0.001,parallel,vector
254,0.005,parallel,sum
255,0.002,parallel,vector
255,0.005,parallel,sum
256,0.001,parallel,vector
256,0.006,parallel,sum
257,0.002,parallel,vector
257,0.006,parallel,sum
258,0.002,parallel,vector
258,0.007,parallel,sum
259,0.001,parallel,vector
259,0.006,parallel,sum
260,0.002,parallel,vector
260,0.007,parallel,sum
261,0.002,parallel,vector
261,0.006,parallel,sum
262,0.001,parallel,vector
262,0.009,parallel,sum
263,0.001,parallel,vector
263,0.011,parallel,sum
264,0.002,parallel,vector
264,0.007,parallel,sum
265,0.001,parallel,vector
265,0.007,parallel,sum
266,0.001,parallel,vector
266,0.006,parallel,sum
267,0.002,parallel,vector
267,0.006,parallel,sum
268,0.002,parallel,vector
268,0.006,parallel,sum
269,0.001,parallel,vector
269,0.008,parallel,sum
270,0.002,parallel,vector
270,0.006,parallel,sum
271,0.002,parallel,vector
271,0.007,parallel,sum
272,0.001,parallel,vector
272,0.007,parallel,sum
273,0.001,parallel,vector
273,0.009,parallel,sum
274,0.001,parallel,vector
274,0.007,parallel,sum
275,0.002,parallel,vector
275,0.008,parallel,sum
276,0.001,parallel,vector
276,0.007,parallel,sum
277,0.001,parallel,vector
277,0.01,parallel,sum
278,0.002,parallel,vector
278,0.007,parallel,sum
