size,time,type,action
228,0.005,serial,sum
229,0.001,serial,vector
229,0.004,serial,sum
230,0.001,serial,vector
230,0.005,serial,sum
231,0.001,serial,vector
231,0.004,serial,sum
232,0.001,serial,vector
232,0.005,serial,sum
233,0.001,serial,vector
233,0.005,serial,sum
234,0.001,serial,vector
234,0.004,serial,sum
235,0.001,serial,vector
235,0.005,serial,sum
236,0.001,serial,vector
236,0.005,serial,sum
237,0.001,serial,vector
237,0.004,serial,sum
238,0.002,serial,vector
238,0.004,serial,sum
239,0.002,serial,vector
239,0.004,serial,sum
240,0.001,serial,vector
240,0.005,serial,sum
241,0.001,serial,vector
241,0.005,serial,sum
242,0.002,serial,vector
242,0.004,serial,sum
243,0.002,serial,vector
243,0.005,serial,sum
244,0.001,serial,vector
244,0.005,serial,sum
245,0.001,serial,vector
245,0.005,serial,sum
246,0.002,serial,vector
246,0.005,serial,sum
247,0.001,serial,vector
247,0.005,serial,sum
248,0.001,serial,vector
248,0.005,serial,sum
249,0.002,serial,vector
249,0.006,serial,sum
250,0.001,serial,vector
250,0.005,serial,sum
251,0.002,serial,vector
251,0.005,serial,sum
252,0.001,serial,vector
252,0.005,serial,sum
253,0.002,serial,vector
253,0.005,serial,sum
254,0.002,serial,vector
254,0.005,serial,sum
255,0.001,serial,vector
255,0.005,serial,sum
256,0.001,serial,vector
256,0.006,serial,sum
257,0.001,serial,vector
257,0.005,serial,sum
258,0.002,serial,vector
258,0.005,serial,sum
259,0.002,serial,vector
259,0.006,serial,sum
260,0.001,serial,vector
260,0.006,serial,sum
261,0.001,serial,vector
261,0.006,serial,sum
262,0.002,serial,vector
262,0.005,serial,sum
263,0.002,serial,vector
263,0.006,serial,sum
264,0.001,serial,vector
264,0.006,serial,sum
265,0.001,serial,vector
265,0.006,serial,sum
266,0.002,serial,vector
266,0.005,serial,sum
267,0.002,serial,vector
267,0.006,serial,sum
268,0.001,serial,vector
268,0.006,serial,sum
269,0.002,serial,vector
269,0.006,serial,sum
270,0.001,serial,vector
270,0.006,serial,sum
271,0.001,serial,vector
271,0.006,serial,sum
272,0.002,serial,vector
272,0.006,serial,sum
273,0.002,serial,vector
273,0.006,serial,sum
274,0.002,serial,vector
274,0.006,serial,sum
275,0.001,serial,vector
275,0.006,serial,sum
276,0.002,serial,vector
276,0.006,serial,sum
277,0.002,serial,vector
277,0.006,serial,sum
278,0.002,serial,vector
278,0.006,serial,sum
279,0.002,serial,vector
279,0.006,serial,sum
280,0.002,serial,vector
280,0.006,serial,sum
281,0.002,serial,vector
281,0.006,serial,sum
282,0.002,serial,vector
282,0.007,serial,sum
283,0.002,serial,vector
283,0.007,serial,sum
284,0.002,serial,vector
284,0.006,serial,sum
285,0.002,serial,vector
285,0.007,serial,sum
286,0.002,serial,vector
286,0.007,serial,sum
287,0.002,serial,vector
287,0.007,serial,sum
288,0.002,serial,vector
288,0.007,serial,sum
289,0.002,serial,vector
289,0.007,serial,sum
290,0.002,serial,vector
290,0.007,serial,sum
291,0.002,serial,vector
291,0.008,serial,sum
292,0.002,serial,vector
292,0.007,serial,sum
293,0.002,serial,vector
293,0.007,serial,sum
294,0.002,serial,vector
294,0.008,serial,sum
295,0.002,serial,vector
295,0.007,serial,sum
296,0.002,serial,vector
296,0.007,serial,sum
297,0.002,serial,vector
297,0.007,serial,sum
298,0.002,serial,vector
298,0.008,serial,sum
299,0.002,serial,vector
299,0.008,serial,sum
300,0.002,serial,vector
300,0.007,serial,sum
301,0.002,serial,vector
301,0.008,serial,sum
302,0.002,serial,vector
302,0.007,serial,sum
303,0.003,serial,vector
303,0.008,serial,sum
304,0.003,serial,vector
304,0.007,serial,sum
305,0.003,serial,vector
305,0.007,serial,sum
306,0.002,serial,vector
306,0.01,serial,sum
307,0.002,serial,vector
307,0.007,serial,sum
308,0.003,serial,vector
308,0.007,serial,sum
309,0.002,serial,vector
309,0.008,serial,sum
310,0.002,serial,vector
310,0.008,serial,sum
311,0.002,serial,vector
311,0.008,serial,sum
312,0.002,serial,vector
312,0.009,serial,sum
313,0.002,serial,vector
313,0.008,serial,sum
314,0.002,serial,vector
314,0.009,serial,sum
315,0.002,serial,vector
315,0.008,serial,sum
316,0.002,serial,vector
316,0.008,serial,sum
317,0.002,serial,vector
317,0.008,serial,sum
318,0.002,serial,vector
318,0.008,serial,sum
319,0.002,serial,vector
319,0.008,serial,sum
320,0.002,serial,vector
320,0.008,serial,sum
321,0.002,serial,vector
321,0.009,serial,sum
322,0.002,serial,vector
322,0.009,serial,sum
323,0.002,serial,vector
323,0.009,serial,sum
324,0.002,serial,vector
324,0.008,serial,sum
325,0.003,serial,vector
325,0.01,serial,sum
326,0.002,serial,vector
326,0.01,serial,sum
327,0.003,serial,vector
327,0.01,serial,sum
328,0.003,serial,vector
328,0.008,serial,sum
329,0.003,serial,vector
329,0.009,serial,sum
330,0.002,serial,vector
330,0.009,serial,sum
331,0.002,serial,vector
331,0.009,serial,sum
332,0.003,serial,vector
332,0.009,serial,sum
333,0.002,serial,vector
333,0.009,serial,sum
334,0.003,serial,vector
334,0.009,serial,sum
335,0.002,serial,vector
335,0.01,serial,sum
336,0.002,serial,vector
336,0.01,serial,sum
337,0.002,serial,vector
337,0.009,serial,sum
338,0.003,serial,vector
338,0.01,serial,sum
339,0.002,serial,vector
339,0.01,serial,sum
340,0.003,serial,vector
340,0.01,serial,sum
341,0.003,serial,vector
341,0.009,serial,sum
342,0.003,serial,vector
342,0.01,serial,sum
343,0.002,serial,vector
343,0.01,serial,sum
344,0.003,serial,vector
344,0.009,serial,sum
345,0.003,serial,vector
345,0.01,serial,sum
346,0.002,serial,vector
346,0.01,serial,sum
347,0.003,serial,vector
347,0.01,serial,sum
348,0.003,serial,vector
348,0.01,serial,sum
349,0.002,serial,vector
349,0.01,serial,sum
350,0.003,serial,vector
350,0.01,serial,sum
351,0.003,serial,vector
351,0.01,serial,sum
352,0.003,serial,vector
352,0.01,serial,sum
353,0.003,serial,vector
353,0.01,serial,sum
354,0.003,serial,vector
354,0.01,serial,sum
355,0.004,serial,vector
355,0.011,serial,sum
356,0.003,serial,vector
356,0.012,serial,sum
357,0.003,serial,vector
357,0.011,serial,sum
358,0.003,serial,vector
358,0.01,serial,sum
359,0.003,serial,vector
359,0.015,serial,sum
